group,case,lb-dfs,t-dfs,lb-maxknap,t-maxkanap,lb-fb,t-fb
17,19,36,0,36,0,36,0
17,20,39,0,39,0,39,0
17,21,32,0,32,0,32,0
17,22,42,0,42,0,42,0
17,23,35,0,35,0,35,0
17,24,32,0,32,0,32,0
17,25,34,0,34,0,34,0
17,26,34,0,33,0,33,0
17,27,38,0,38,0,38,0
17,28,43,0,43,0,43,0
17,29,34,0,34,0,34,0
17,30,39,0,39,0,39,0
17,31,35,0,35,0,35,0
17,32,31,0,31,0,31,0
17,33,40,0,40,0,40,0
17,34,39,0,39,0,39,0
17,35,40,0,40,0,40,0
17,36,31,0,31,0,31,0
17,37,36,0,36,0,36,0
17,38,40,0,40,0,40,0
17,39,40,0,40,0,40,0
17,40,28,0,28,0,28,0
18,1,27,0,26,0,25,0
18,2,30,0,30,0,30,0
18,3,34,0,34,0,34,0
18,4,32,0,31,0,31,0
18,5,28,0,28,0,28,0
18,6,34,0,34,0,34,0
18,7,29,0,29,0,29,0
18,8,33,0,33,0,33,0
18,9,25,0,25,0,25,0
18,10,24,0,24,0,24,0
18,11,32,0,32,0,32,0
18,12,29,0,29,0,29,0
18,13,25,0,25,0,25,0
18,14,28,0,28,0,28,0
18,15,34,0,34,0,34,0
18,16,25,0,25,0,25,0
18,17,32,0,32,0,32,0
18,18,33,0,33,0,33,0
18,19,29,0,29,0,29,0
18,20,30,0,30,0,30,0
18,21,33,0,33,0,33,0
18,22,34,0,34,0,34,0
18,23,33,0,33,0,33,0
18,24,33,0,33,0,33,0
18,25,25,0,25,0,25,0
18,26,33,0,33,0,33,0
18,27,33,0,32,0,32,0
18,28,26,0,26,0,26,0
18,29,29,0,29,0,29,0
18,30,34,0,34,0,34,0
18,31,31,0,31,0,31,0
18,32,31,0,31,0,31,0
18,33,27,0,27,0,27,0
18,34,31,0,31,0,31,0
18,35,28,0,28,0,28,0
18,36,35,0,35,0,35,0
18,37,27,0,27,0,27,0
18,38,31,0,31,0,31,0
18,39,32,0,32,0,32,0
18,40,34,0,34,0,34,0
19,1,50,0,50,0,50,0
19,2,49,0,49,0,49,0
19,3,49,0,49,0,49,0
19,4,48,0,48,0,48,0
19,5,49,0,49,0,49,0
19,6,48,0,48,0,48,0
19,7,54,0,54,0,54,0
19,8,51,0,51,0,51,0
19,9,47,0,47,0,47,0
19,10,42,0,42,0,41,0
19,11,44,0,44,0,44,0
19,12,48,0,48,0,48,0
19,13,43,0,43,0,43,0
19,14,50,0,50,0,50,0
19,15,47,0,47,0,47,0
19,16,48,0,48,0,48,0
19,17,50,0,50,0,50,0
19,18,51,0,51,0,51,0
19,19,44,0,44,0,43,0
19,20,48,0,48,0,48,0
19,21,45,0,45,0,45,0
19,22,52,0,52,0,52,0
19,23,45,0,45,0,45,0
19,24,46,0,46,0,46,0
19,25,50,0,50,0,50,0
19,26,44,0,44,0,44,0
19,27,43,0,43,0,43,0
19,28,52,0,52,0,52,0
19,29,50,0,50,15,50,0
19,30,49,0,49,0,49,0
19,31,49,0,49,0,49,0
19,32,54,0,54,0,54,0
19,33,45,0,45,0,45,0
19,34,47,0,47,0,47,0
19,35,43,0,43,0,43,0
19,36,51,0,51,0,51,0
19,37,50,0,50,0,50,0
19,38,51,0,51,0,51,0
19,39,49,0,49,0,49,0
19,40,53,0,53,0,53,0
20,1,60,0,60,0,60,0
20,2,56,0,56,0,56,0
20,3,60,0,60,0,60,0
20,4,61,0,61,0,61,0
20,5,59,0,59,0,59,0
20,6,61,0,61,0,61,0
20,7,59,0,59,0,59,0
20,8,62,0,62,0,62,0
20,9,67,0,67,0,67,0
20,10,62,0,62,0,61,0
20,11,59,0,59,0,59,0
20,12,60,0,59,0,58,0
20,13,60,0,60,0,60,0
20,14,60,0,60,0,60,0
20,15,52,0,51,0,51,0
20,16,59,0,59,0,59,0
20,17,60,0,60,0,60,0
20,18,55,0,55,0,55,0
20,19,57,0,57,0,57,0
20,20,64,0,64,0,64,0
20,21,62,0,62,0,62,0
20,22,59,0,59,0,59,0
20,23,57,0,56,0,56,0
20,24,60,0,59,0,59,0
20,25,63,0,63,0,63,0
20,26,62,0,62,0,62,0
20,27,61,0,60,0,60,0
20,28,59,0,59,0,59,0
20,29,59,0,59,0,59,0
20,30,55,0,55,0,55,0
20,31,61,0,61,0,61,0
20,32,60,0,59,0,59,0
20,33,61,0,61,0,61,0
20,34,63,0,62,0,62,0
20,35,63,0,63,0,63,0
20,36,62,0,62,0,62,0
20,37,60,0,60,0,60,0
20,38,58,0,58,0,58,0
20,39,58,0,58,0,58,0
20,40,62,0,61,0,61,0
21,1,92,0,92,0,92,0
21,2,90,0,90,0,90,0
21,3,94,0,94,0,94,0
21,4,95,0,95,0,95,0
21,5,99,0,99,0,99,0
21,6,91,0,91,0,91,0
21,7,94,0,94,0,94,0
21,8,94,0,94,0,94,0
21,9,88,0,88,0,88,0
21,10,94,0,94,0,94,0
21,11,98,0,98,0,98,0
21,12,94,0,94,0,94,0
21,13,89,0,89,0,89,0
21,14,89,0,89,0,89,0
21,15,89,0,89,0,89,0
21,16,93,0,93,15,93,0
21,17,101,0,101,0,101,0
21,18,93,0,93,0,93,0
21,19,95,0,95,0,95,0
21,20,97,0,97,0,97,0
21,21,92,0,92,0,92,0
21,22,87,0,87,0,87,0
21,23,86,0,86,0,86,0
21,24,93,0,92,0,92,0
21,25,99,0,99,0,99,0
